,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
0,25480,2,2.0,1,1.0,3,2,23,5,2.0,2,1,1,1,5,1,1,2,3,Version 2,1.15386927127838,1,1,4,1,2,1,1,1,2,1.0,1,4,1
1,25481,1,1.0,2,1.0,3,10,40,2,1.0,6,1,2,2,7,3,1,1,3,Version 2,2.15388107299805,6,2,4,1,1,1,1,1,2,1.0,1,1,2
2,25482,1,,1,,6,7,21,2,2.0,4,1,1,3,5,2,1,1,3,Version 2,3.0299916267395,3,2,4,3,2,2,1,1,1,7.0,1,1,1
3,25483,2,,1,,8,4,1,2,2.0,1,2,5,2,2,1,1,2,3,Version 2,.603291809558868,1,1,4,3,1,2,2,2,3,3.0,3,1,4
4,25484,2,2.0,1,,3,10,53,3,1.0,7,4,3,2,6,4,1,1,3,Version 2,2.77885246276855,5,2,4,2,1,2,1,2,1,2.0,2,2,4
5,25485,1,1.0,2,1.0,6,11,34,4,1.0,7,3,4,2,6,3,1,3,3,Version 2,.430825442075729,6,2,4,2,1,3,2,1,2,6.0,2,1,1
6,25486,2,2.0,2,,8,13,25,2,2.0,1,2,6,3,1,4,1,1,3,Version 2,1.60511541366577,7,2,4,2,2,2,2,2,1,3.0,2,2,5
7,25487,1,1.0,1,1.0,2,1,13,5,2.0,2,1,1,2,7,1,1,1,1,Version 2,2.60090398788452,1,1,4,1,1,3,1,1,2,7.0,1,1,1
9,25489,2,2.0,2,1.0,2,1,6,4,2.0,3,3,4,2,6,1,1,2,3,Version 2,1.54575049877167,2,1,4,2,2,2,2,2,1,7.0,2,2,4
11,25491,1,1.0,1,1.0,4,10,40,2,1.0,6,1,1,1,5,3,1,1,3,Version 2,1.61372673511505,5,2,4,2,1,1,2,2,2,1.0,1,3,3
13,25493,2,2.0,2,3.0,5,11,1,2,1.0,7,4,4,3,3,1,1,5,3,Version 2,.936949729919434,6,2,4,2,1,2,2,2,3,3.0,4,3,2
14,25494,2,2.0,2,1.0,7,4,16,3,2.0,3,3,4,3,3,1,1,3,3,Version 2,.433804988861084,2,1,4,2,1,2,2,2,1,2.0,2,3,2
15,25495,1,1.0,1,1.0,8,4,5,4,2.0,2,1,1,2,7,1,1,1,1,Version 2,.690514862537384,1,1,4,2,1,1,2,1,2,1.0,1,1,1
16,25496,1,1.0,1,1.0,8,4,20,4,2.0,2,1,1,2,7,1,1,1,1,Version 2,.771251499652863,1,1,4,1,1,1,1,1,2,2.0,1,1,1
17,25497,2,2.0,2,3.0,7,8,22,2,2.0,1,2,6,3,1,2,1,1,3,Version 2,.915585100650787,4,2,4,2,1,2,2,2,1,3.0,2,3,3
18,25498,2,2.0,2,3.0,6,3,22,3,2.0,3,3,4,3,3,1,1,2,3,Version 2,.431478202342987,2,1,4,2,1,2,2,2,1,2.0,2,4,4
19,25499,1,1.0,1,1.0,6,3,1,5,2.0,2,1,1,2,7,1,1,2,3,Version 2,.429174810647964,1,1,4,1,1,1,1,1,2,7.0,1,1,1
20,25500,1,1.0,2,,4,2,47,4,2.0,2,1,2,1,5,1,1,2,3,Version 2,.841432750225067,2,1,4,3,1,1,1,1,2,1.0,2,2,1
21,25501,1,1.0,1,1.0,3,10,47,5,1.0,6,1,1,2,7,3,1,2,3,Version 2,2.95017766952515,5,2,4,2,2,1,2,2,2,3.0,1,3,1
22,25502,1,,1,,1,1,28,4,2.0,2,1,1,2,7,1,1,3,3,Version 2,.825609922409058,1,1,4,3,1,1,3,1,2,3.0,1,4,1
24,25504,1,2.0,2,1.0,8,4,3,5,2.0,3,3,4,1,4,1,1,2,3,Version 2,.454204797744751,2,1,4,2,2,2,3,2,3,7.0,3,3,1
25,25505,2,2.0,2,3.0,3,2,1,5,2.0,1,2,6,3,1,1,1,1,2,Version 2,2.43756723403931,2,1,4,2,1,2,1,2,3,3.0,3,1,5
26,25506,1,1.0,2,1.0,5,3,2,5,2.0,2,1,2,2,7,1,1,5,3,Version 2,.839741826057434,2,1,4,2,1,1,1,1,2,6.0,1,1,1
27,25507,1,1.0,2,1.0,4,2,28,4,2.0,2,1,2,2,7,1,1,3,3,Version 2,1.12256610393524,2,1,4,1,1,2,2,2,2,1.0,2,2,1
28,25508,1,1.0,1,1.0,7,12,46,4,1.0,6,1,1,1,5,3,1,1,3,Version 2,2.80318355560303,5,2,4,3,1,1,1,1,2,2.0,2,1,2
29,25509,1,1.0,2,1.0,6,11,5,2,1.0,7,4,4,2,6,3,1,2,3,Version 2,1.40792179107666,6,2,4,1,1,2,1,1,2,1.0,1,1,1
31,25511,1,1.0,1,1.0,3,13,30,3,2.0,8,1,1,1,5,5,1,1,3,Version 2,4.14828872680664,7,2,4,1,1,1,2,2,2,6.0,2,3,1
32,25512,2,2.0,2,,7,4,36,2,2.0,3,3,4,3,3,1,1,1,2,Version 2,.763216555118561,2,1,4,2,1,2,2,2,1,1.0,2,3,4
33,25513,1,1.0,1,1.0,1,1,13,4,2.0,2,1,1,2,7,1,1,2,3,Version 2,1.61880028247833,1,1,4,3,1,1,1,2,2,7.0,1,3,1
34,25514,1,1.0,2,1.0,8,4,22,5,2.0,2,1,2,1,5,1,1,3,3,Version 2,.177778646349907,2,1,4,1,1,1,1,1,2,7.0,1,1,1
36,25516,1,1.0,1,1.0,8,4,18,3,2.0,3,3,3,1,4,1,1,2,3,Version 2,1.25169205665588,1,1,4,1,2,1,1,1,2,2.0,1,1,2
37,25517,2,2.0,1,1.0,8,4,10,5,2.0,1,2,5,3,1,1,1,1,1,Version 2,.201146647334099,1,1,4,2,3,2,1,1,1,2.0,2,3,4
38,25518,2,2.0,1,1.0,6,3,4,2,2.0,1,2,5,3,1,1,1,1,1,Version 2,3.21953272819519,1,1,4,2,1,2,2,2,1,2.0,3,3,3
39,25519,2,2.0,2,3.0,8,4,1,2,2.0,3,3,4,3,3,1,1,1,2,Version 2,.509727001190186,2,1,4,2,1,2,2,2,1,2.0,3,2,3
40,25520,2,2.0,2,3.0,8,4,8,2,2.0,3,4,4,3,3,1,1,1,2,Version 2,1.01945471763611,2,1,4,2,3,2,3,2,1,3.0,2,1,1
41,25521,1,1.0,2,1.0,8,4,5,5,2.0,2,1,2,2,7,1,1,2,3,Version 2,.454204797744751,2,1,4,1,1,2,1,1,4,2.0,2,1,1
42,25522,1,1.0,1,1.0,8,4,1,4,2.0,2,1,1,2,7,1,1,2,3,Version 2,.740323543548584,1,1,4,1,1,1,1,1,2,2.0,1,3,1
43,25523,1,1.0,2,1.0,5,7,37,3,2.0,5,3,4,1,4,2,1,3,3,Version 2,1.02334249019623,4,2,4,1,1,1,1,1,2,3.0,1,1,1
45,25525,1,1.0,2,1.0,5,13,10,2,2.0,8,1,2,2,7,5,1,1,3,Version 2,3.82397294044495,7,2,4,2,1,2,1,1,2,5.0,1,1,1
46,25526,1,1.0,2,,8,4,7,2,2.0,2,1,2,2,7,1,1,1,2,Version 2,.71157568693161,2,1,4,1,4,1,1,1,2,7.0,1,2,1
47,25527,1,1.0,2,1.0,7,4,14,5,2.0,2,1,2,1,5,1,1,3,3,Version 2,.831379055976868,2,1,4,1,1,3,1,1,2,6.0,1,1,1
48,25528,2,2.0,1,1.0,8,4,24,4,2.0,3,3,3,3,3,1,1,2,3,Version 2,.481976836919785,1,1,4,2,1,2,2,2,1,1.0,2,1,1
49,25529,1,1.0,1,1.0,8,4,51,5,2.0,3,4,3,2,6,1,1,3,3,Version 2,1.17327523231506,1,1,4,1,1,1,3,1,2,1.0,1,3,1
50,25530,1,3.0,2,1.0,5,3,7,4,2.0,1,2,6,1,2,1,1,1,2,Version 2,2.07198405265808,2,1,4,2,1,2,1,1,2,1.0,2,2,3
51,25531,1,1.0,1,3.0,8,13,8,2,2.0,8,1,1,1,5,4,1,1,3,Version 2,.558966755867004,7,2,4,3,1,1,3,2,4,3.0,2,5,5
52,25532,2,2.0,1,,4,10,35,4,1.0,1,2,5,3,1,3,1,1,3,Version 2,1.32977735996246,5,2,4,2,2,2,2,2,1,6.0,3,2,4
53,25533,1,1.0,2,1.0,8,4,36,5,2.0,2,1,2,2,7,1,1,1,2,Version 2,.243483707308769,2,1,4,1,2,2,1,1,2,2.0,1,1,1
54,25534,2,2.0,1,,8,4,5,3,2.0,1,2,5,1,2,1,1,2,3,Version 2,.639669954776764,1,1,4,2,1,2,3,2,1,2.0,3,5,5
55,25535,2,2.0,2,1.0,8,4,49,5,2.0,1,2,6,3,1,1,1,1,2,Version 2,.991311490535736,2,1,4,2,1,2,2,2,1,2.0,2,3,3
56,25536,2,2.0,2,,8,4,1,5,2.0,3,3,4,3,3,1,1,2,3,Version 2,.243483707308769,2,1,4,2,2,2,2,2,1,7.0,2,3,4
58,25538,2,1.0,1,1.0,6,3,50,1,2.0,3,4,3,1,4,1,1,1,1,Version 2,12.7076597213745,1,1,4,1,1,2,2,2,1,7.0,2,3,1
60,25540,1,1.0,2,1.0,7,4,1,4,2.0,2,1,2,2,7,1,1,5,3,Version 2,.559346675872803,2,1,4,1,1,2,1,1,2,7.0,1,1,2
62,25542,1,1.0,1,1.0,6,3,7,5,2.0,3,3,3,3,3,1,1,2,3,Version 2,1.53788959980011,1,1,4,2,1,1,1,1,2,1.0,1,2,1
63,25543,1,1.0,1,1.0,6,3,30,4,2.0,2,1,1,2,7,1,1,1,1,Version 2,1.17125046253204,1,1,4,1,1,1,1,1,2,4.0,1,1,1
64,25544,3,,1,,5,3,16,4,2.0,3,3,3,3,3,1,1,2,3,Version 2,1.28230762481689,1,1,4,3,1,2,2,2,1,1.0,3,2,4
65,25545,1,1.0,2,1.0,6,3,36,1,2.0,2,1,2,1,5,1,1,1,2,Version 2,4.40726709365845,2,1,4,1,2,1,1,1,2,3.0,1,1,1
66,25546,2,2.0,1,1.0,6,3,14,5,2.0,1,2,5,1,2,1,1,1,1,Version 2,1.87122905254364,1,1,4,1,2,2,2,2,1,,4,3,2
67,25547,2,2.0,2,1.0,6,3,38,1,2.0,3,3,4,3,3,1,1,1,2,Version 2,1.95985221862793,2,1,4,3,2,2,2,1,3,7.0,3,3,4
68,25548,2,2.0,2,3.0,5,3,4,1,2.0,1,2,6,3,1,1,1,1,2,Version 2,4.29137182235718,2,1,4,2,2,2,2,2,3,3.0,3,3,4
69,25549,1,1.0,1,1.0,8,4,1,4,2.0,2,1,1,2,7,1,1,5,3,Version 2,.493836998939514,1,1,4,1,1,1,1,1,4,7.0,1,5,2
70,25550,1,1.0,1,1.0,8,8,41,4,2.0,4,1,1,1,5,2,1,1,3,Version 2,.665702283382416,3,2,4,1,3,2,1,3,1,4.0,3,2,1
71,25551,1,1.0,1,1.0,8,4,25,2,2.0,2,1,1,2,7,1,1,1,1,Version 2,3.00283455848694,1,1,4,1,1,1,1,1,2,1.0,1,1,2
72,25552,1,1.0,1,1.0,8,4,11,4,2.0,2,1,1,2,7,1,1,2,3,Version 2,.67559152841568,1,1,4,1,1,2,1,1,2,7.0,1,1,1
74,25554,1,1.0,1,1.0,8,12,22,4,1.0,7,3,3,1,4,4,1,3,3,Version 2,.98196941614151,5,2,4,1,1,1,1,1,2,7.0,2,1,2
76,25556,1,1.0,1,1.0,8,4,7,1,2.0,2,1,1,3,5,1,1,2,3,Version 2,1.4661717414856,1,1,4,1,2,1,1,1,2,2.0,2,4,4
78,25558,1,1.0,1,1.0,8,4,33,2,2.0,2,1,1,2,7,1,1,1,1,Version 2,1.07310450077057,1,1,4,1,2,2,1,1,2,3.0,2,4,1
79,25559,2,2.0,1,3.0,7,4,29,4,2.0,1,2,5,3,1,1,1,1,1,Version 2,2.35650658607483,1,1,4,2,1,2,2,2,4,2.0,3,3,5
80,25560,1,1.0,2,1.0,8,4,53,1,2.0,2,1,2,1,5,1,1,1,2,Version 2,5.2805552482605,2,1,4,1,1,1,1,1,2,7.0,4,2,2
81,25561,2,1.0,1,1.0,7,13,45,4,2.0,1,2,5,1,2,6,1,1,3,Version 2,5.3181095123291,7,2,4,2,1,1,2,3,2,6.0,3,1,1
82,25562,1,1.0,2,1.0,8,4,2,5,2.0,2,1,2,2,7,1,1,5,3,Version 2,.454204797744751,2,1,4,1,2,1,1,1,2,4.0,2,1,2
83,25563,1,,2,1.0,8,12,12,5,1.0,7,3,4,2,6,3,1,3,3,Version 2,.308390229940414,6,2,4,1,1,1,1,1,2,7.0,1,4,1
84,25564,1,1.0,2,1.0,8,4,1,5,2.0,2,1,2,1,5,1,1,2,3,Version 2,.243483707308769,2,1,4,1,1,1,1,1,2,1.0,1,1,1
85,25565,1,1.0,1,1.0,5,11,13,3,1.0,6,1,1,2,7,3,1,2,3,Version 2,1.37409019470215,5,2,4,1,3,3,1,2,2,1.0,1,2,1
86,25566,1,,2,1.0,7,4,46,2,2.0,1,2,6,1,2,1,1,2,3,Version 2,3.71156811714172,2,1,4,1,2,2,1,1,1,4.0,2,1,2
88,25568,2,2.0,1,,8,4,1,3,2.0,1,2,5,1,2,1,1,2,3,Version 2,.342905282974243,1,1,4,2,1,2,1,2,1,3.0,1,3,2
89,25569,1,1.0,1,1.0,7,4,4,2,2.0,3,4,3,1,4,1,1,5,3,Version 2,2.15793013572693,1,1,4,1,1,3,1,1,2,7.0,1,1,2
91,25571,2,2.0,1,3.0,8,4,9,5,2.0,1,2,5,3,1,1,1,2,3,Version 2,.201146647334099,1,1,4,2,3,2,3,2,2,2.0,2,2,4
92,25572,1,1.0,1,1.0,2,1,11,4,2.0,3,3,3,2,6,1,1,1,1,Version 2,3.19201970100403,1,1,4,2,1,1,2,1,2,7.0,1,1,1
93,25573,1,1.0,2,3.0,6,11,12,3,1.0,6,1,2,2,7,3,1,3,3,Version 2,.782954335212708,6,2,4,1,2,3,1,1,4,7.0,1,4,1
94,25574,1,1.0,2,1.0,6,13,17,5,2.0,8,3,4,1,4,4,1,1,3,Version 2,.560022354125977,7,2,4,1,1,2,1,1,2,7.0,2,3,2
96,25576,1,1.0,2,1.0,4,2,6,5,2.0,3,3,4,1,4,1,1,2,3,Version 2,.73655241727829,2,1,4,2,2,2,1,1,2,7.0,2,1,2
97,25577,2,2.0,2,,8,4,4,4,2.0,1,2,6,3,1,1,1,5,3,Version 2,.26183757185936,2,1,4,2,2,2,2,2,1,7.0,2,3,4
98,25578,1,1.0,2,1.0,4,2,37,4,2.0,2,1,2,2,7,1,1,3,3,Version 2,.841432750225067,2,1,4,1,1,1,1,1,2,7.0,1,1,1
99,25579,1,1.0,2,1.0,3,2,51,5,2.0,3,3,4,1,4,1,1,4,3,Version 2,.974915206432343,2,1,4,3,2,2,3,1,4,7.0,4,1,5
100,25580,1,1.0,1,1.0,4,2,52,5,2.0,2,1,1,2,7,1,1,3,3,Version 2,1.77461159229279,1,1,4,3,1,1,2,1,2,7.0,1,3,1
442,25922,1,1.0,1,1.0,8,4,4,2,2.0,2,1,1,1,5,1,1,1,1,Version 2,2.90725350379944,1,1,26,3,1,1,1,1,2,1.0,1,4,1
443,25923,1,1.0,2,1.0,8,4,4,5,2.0,2,1,2,1,5,1,1,3,3,Version 2,1.21849608421326,2,1,26,1,1,3,1,1,2,4.0,1,1,1
444,25924,2,2.0,2,2.0,7,4,2,2,2.0,1,2,6,1,2,1,1,1,2,Version 2,9.94320201873779,2,1,26,2,2,2,1,2,1,7.0,2,3,2
445,25925,2,2.0,2,2.0,3,2,2,4,2.0,1,2,6,3,1,1,1,5,3,Version 2,16.4054431915283,2,1,26,2,1,2,3,2,1,3.0,3,2,2
446,25926,2,2.0,2,2.0,7,12,3,2,1.0,1,2,6,3,1,1,1,1,3,Version 2,6.96698474884033,6,2,26,2,2,2,2,2,3,1.0,2,2,4
447,25927,2,2.0,1,2.0,7,4,3,2,2.0,1,2,5,3,1,1,1,3,3,Version 2,6.41355562210083,1,1,26,2,2,2,2,2,1,1.0,2,2,4
513,25993,2,2.0,2,2.0,8,4,6,1,,1,2,6,3,1,1,2,4,3,Version 2,2.0253541469574,2,1,46,2,1,2,2,2,3,3.0,2,3,1
514,25994,2,2.0,2,2.0,8,4,4,2,,1,2,6,3,1,1,2,3,3,Version 2,.900195837020874,2,1,46,2,1,2,2,2,3,4.0,3,3,3
515,25995,1,1.0,1,1.0,8,4,2,5,,2,1,1,2,7,1,2,2,3,Version 2,.594684064388275,1,1,46,1,4,1,1,1,4,7.0,1,5,2
517,25997,1,1.0,1,1.0,8,4,5,3,,3,3,3,2,6,1,2,2,3,Version 2,.668277561664581,1,1,46,1,2,3,1,1,2,,2,1,2
518,25998,2,2.0,2,2.0,6,3,1,2,,3,3,4,1,4,1,2,1,2,Version 2,2.37294673919678,2,1,46,2,1,2,2,2,1,1.0,2,1,3
519,25999,2,2.0,2,2.0,8,4,8,1,,1,2,6,3,1,1,2,2,3,Version 2,2.0253541469574,2,1,46,2,2,2,2,2,1,1.0,2,3,3
520,26000,1,1.0,2,1.0,8,4,6,1,,3,3,4,2,6,1,2,1,2,Version 2,2.0253541469574,2,1,46,2,3,2,1,1,3,1.0,2,1,3
523,26003,2,2.0,2,2.0,8,4,1,5,,3,3,4,3,3,1,2,1,2,Version 2,.473677009344101,2,1,46,2,2,2,1,2,1,1.0,2,3,4
535,26015,3,,1,,3,2,1,2,,3,3,3,2,6,1,4,1,1,Version 2,9.82391452789307,1,1,37,2,1,2,3,2,1,,3,3,4
585,26065,1,,1,,7,8,2,1,,4,1,1,1,5,2,3,1,3,Version 2,2.24082803726196,3,2,22,1,4,3,3,3,4,,4,5,3
587,26067,1,1.0,2,1.0,8,4,1,4,,2,1,2,2,7,1,2,5,3,Version 2,.661241292953491,2,1,20,1,2,2,1,1,2,6.0,1,1,1
589,26069,1,1.0,1,1.0,8,4,4,3,,2,1,1,1,5,1,2,1,1,Version 2,1.14600658416748,1,1,20,1,1,1,1,1,2,2.0,1,1,1
590,26070,2,2.0,2,2.0,7,4,4,1,,1,2,6,3,1,1,2,4,3,Version 2,3.40537285804749,2,1,20,2,1,2,2,2,3,2.0,2,3,1
591,26071,2,3.0,2,2.0,8,4,6,2,,3,3,4,2,6,1,2,5,3,Version 2,1.02914357185364,2,1,20,2,1,2,1,2,2,2.0,2,2,2
592,26072,1,1.0,1,1.0,8,4,5,5,,2,1,1,2,7,1,2,4,3,Version 2,.679869055747986,1,1,20,1,3,3,1,3,2,2.0,4,4,2
593,26073,2,2.0,2,2.0,8,4,3,3,,1,2,6,3,1,1,2,5,3,Version 2,.930896580219269,2,1,20,2,3,2,2,2,1,3.0,2,3,3
594,26074,1,1.0,2,2.0,7,4,2,1,,3,3,4,2,6,1,2,5,3,Version 2,13.6214914321899,2,1,20,3,1,1,1,2,2,2.0,1,1,2
595,26075,2,2.0,1,2.0,8,4,10,1,,1,2,5,2,2,1,2,1,1,Version 2,2.90699338912964,1,1,20,3,2,2,3,3,4,1.0,4,1,5
596,26076,2,2.0,1,2.0,8,4,7,1,,3,3,3,3,3,1,2,4,3,Version 2,2.90699338912964,1,1,20,2,2,2,2,2,1,2.0,2,3,2
597,26077,1,1.0,2,1.0,5,3,5,2,,3,3,4,1,4,1,2,2,3,Version 2,7.27605295181274,2,1,20,3,1,2,2,1,2,6.0,2,1,1
598,26078,1,1.0,2,1.0,3,2,5,2,,2,1,2,2,7,1,2,2,3,Version 2,11.3475227355957,2,1,20,1,1,1,1,1,2,7.0,1,4,1
599,26079,1,1.0,1,1.0,7,4,9,1,,2,1,1,2,7,1,2,1,1,Version 2,12.4822082519531,1,1,20,3,1,1,1,1,2,1.0,1,1,1
600,26080,1,1.0,1,1.0,2,1,14,5,,2,1,1,3,5,1,2,1,1,Version 2,8.8939037322998,1,1,20,1,1,1,3,2,2,3.0,1,1,2
645,26126,2,,2,,5,3,1,5,,3,3,4,1,4,1,2,2,3,Version 2,1.58400964736938,2,1,23,2,2,2,2,2,1,,3,3,2
646,26127,2,,2,,3,13,1,5,,8,4,4,2,6,4,2,2,3,Version 2,1.73093843460083,7,2,23,2,1,2,2,2,3,,2,2,4
647,26128,1,,2,,8,4,8,1,,2,1,2,1,5,1,2,5,3,Version 2,.732717037200928,2,1,23,1,2,1,2,1,2,,2,1,2
648,26129,1,,2,,3,2,6,3,,2,1,2,2,7,1,2,2,3,Version 2,2.77609014511108,2,1,23,1,1,1,1,1,1,,1,1,4
649,26130,2,,1,,8,4,3,2,,1,2,5,3,1,1,2,5,3,Version 2,.408861607313156,1,1,23,2,1,2,2,2,1,,3,3,2
650,26131,1,,1,,6,3,4,5,,2,1,1,1,5,1,2,2,3,Version 2,1.48293793201447,1,1,23,1,1,1,1,1,2,,2,1,1
651,26132,1,,1,,8,13,4,1,,8,1,1,2,7,5,2,1,3,Version 2,1.28910684585571,7,2,23,1,2,1,1,1,2,,1,1,4
652,26133,1,,1,,5,3,6,2,,2,1,1,2,7,1,2,2,3,Version 2,1.2944757938385,1,1,23,1,2,2,1,1,2,,2,3,2
708,26189,3,,1,,6,11,14,5,1.0,7,4,3,3,3,3,4,3,3,Version 2,.411097675561905,5,2,30,1,1,1,1,2,3,,2,1,1
709,26190,1,,1,,8,4,8,5,2.0,2,1,1,2,7,1,4,3,3,Version 2,.166930884122849,1,1,30,1,1,1,3,1,2,,2,1,1
711,26192,1,,2,,7,13,5,5,2.0,8,1,2,2,7,5,4,3,3,Version 2,.941821038722992,7,2,30,1,2,1,1,2,2,,2,3,1
712,26193,1,,2,,8,8,6,2,2.0,4,1,2,2,7,2,4,3,3,Version 2,.824013292789459,4,2,30,1,1,2,1,2,2,,1,4,1
714,26195,2,,1,,6,3,20,5,2.0,3,3,3,1,4,1,4,1,1,Version 2,1.71296739578247,1,1,30,2,1,2,2,2,1,,3,1,5
715,26196,1,,2,,3,2,21,4,2.0,3,3,4,2,6,1,4,1,2,Version 2,2.45263981819153,2,1,30,1,1,2,1,1,2,,1,2,1
716,26197,1,,1,,2,1,22,1,2.0,3,3,3,3,3,1,4,5,3,Version 2,11.531153678894,1,1,30,1,1,1,1,2,2,,1,1,2
717,26198,1,,1,,8,4,24,5,2.0,2,1,1,2,7,1,4,2,3,Version 2,.667723536491394,1,1,30,1,1,1,1,1,2,,1,1,1
719,26200,1,,2,,8,4,1,5,2.0,3,3,4,1,4,1,4,1,2,Version 2,.265927106142044,2,1,30,1,1,1,1,1,2,,2,4,2
720,26201,1,,1,,3,6,9,3,2.0,4,1,1,3,5,2,4,3,3,Version 2,4.49663829803467,3,2,30,1,3,1,1,1,2,,2,1,2
721,26202,1,,1,,8,8,17,3,2.0,4,1,1,3,5,2,4,1,3,Version 2,.407814681529999,3,2,30,1,3,1,2,2,2,,2,1,1
723,26204,1,,1,,6,7,19,1,2.0,4,1,1,2,7,2,4,2,3,Version 2,2.08569312095642,3,2,30,1,1,1,2,1,2,,1,1,1
724,26205,2,,1,,8,4,22,4,2.0,3,4,3,3,3,1,4,1,1,Version 2,.611500322818756,1,1,30,2,2,2,2,2,3,,2,3,2
725,26206,2,,1,,7,4,3,2,2.0,1,2,5,3,1,1,4,1,1,Version 2,.93313854932785,1,1,30,2,3,2,2,2,1,,3,3,3
726,26207,2,,2,,8,4,21,4,2.0,1,2,6,3,1,1,4,5,3,Version 2,.64942854642868,2,1,30,2,1,2,2,2,1,,3,3,4
727,26208,2,,2,2.0,7,4,2,2,,3,3,4,3,3,1,4,1,2,Version 2,2.02312684059143,2,1,45,2,2,2,2,2,3,1.0,2,3,5
728,26209,1,,1,2.0,5,13,3,1,,8,3,3,2,6,6,4,1,3,Version 2,1.33729577064514,7,2,45,3,1,2,2,1,1,3.0,1,1,3
729,26210,2,,1,2.0,8,4,1,1,,1,2,5,3,1,1,4,5,3,Version 2,2.59044981002808,1,1,45,2,1,2,2,2,1,3.0,2,3,5
797,26278,1,,1,1.0,8,4,2,5,,2,1,1,2,7,1,2,4,3,Version 2,1.15958666801453,1,1,12,1,2,2,2,1,2,2.0,2,5,1
798,26279,1,,1,1.0,8,4,6,1,,3,3,3,1,4,1,2,5,3,Version 2,2.47908806800842,1,1,12,1,1,1,1,2,2,1.0,2,4,1
799,26280,1,,2,1.0,8,4,8,5,,2,1,2,2,7,1,2,5,3,Version 2,.461816191673279,2,1,12,2,3,1,1,1,2,3.0,2,1,1
800,26281,1,,1,1.0,8,4,9,5,,2,1,1,2,7,1,2,2,3,Version 2,.289896667003632,1,1,12,1,1,1,1,1,2,7.0,1,1,1
801,26282,1,,2,1.0,8,4,2,5,,2,1,2,1,5,1,2,5,3,Version 2,.461816191673279,2,1,12,3,4,2,1,1,4,1.0,2,1,5
802,26283,1,,1,1.0,7,4,4,5,,2,1,1,2,7,1,2,5,3,Version 2,1.70540654659271,1,1,12,1,1,1,1,1,2,7.0,1,3,1
803,26284,2,,2,1.0,2,1,8,1,,3,3,4,3,3,1,2,2,3,Version 2,15.9332399368286,2,1,12,2,3,1,2,2,1,7.0,2,1,1
804,26285,2,,2,2.0,8,4,9,1,,3,4,4,3,3,1,2,1,2,Version 2,1.97463977336884,2,1,12,2,3,2,2,2,1,2.0,2,2,1
805,26286,2,,1,2.0,8,4,6,5,,1,2,5,3,1,1,2,1,1,Version 2,.579793334007263,1,1,12,2,1,2,2,2,1,2.0,3,3,4
807,26288,1,,2,1.0,7,8,1,5,,5,3,4,2,6,2,2,1,3,Version 2,1.4765545129776,4,2,12,1,1,1,1,1,1,3.0,1,1,1
808,26289,2,,2,2.0,8,4,4,5,,3,3,4,3,3,1,2,5,3,Version 2,.461816191673279,2,1,12,2,1,2,2,3,3,1.0,2,2,3
1004,26485,1,1.0,1,1.0,8,4,5,5,,2,1,1,2,7,1,2,2,3,Version 2,.288185656070709,1,1,21,1,1,2,1,1,2,2.0,1,4,1
1005,26486,1,1.0,2,1.0,7,4,8,3,,2,1,2,1,5,1,2,5,3,Version 2,1.13811159133911,2,1,21,1,1,2,1,2,4,2.0,1,1,1
1006,26487,2,2.0,1,2.0,7,4,8,4,,1,2,5,3,1,1,2,5,3,Version 2,2.07012152671814,1,1,21,2,1,2,2,2,1,1.0,2,2,5
1007,26488,2,2.0,1,2.0,5,3,3,3,,1,2,5,3,1,1,2,2,3,Version 2,3.13689589500427,1,1,21,2,1,2,2,2,1,1.0,4,2,3
1008,26489,2,2.0,1,2.0,6,7,1,3,,1,2,5,3,1,2,2,1,3,Version 2,1.23725247383118,3,2,21,3,4,2,2,3,1,1.0,2,1,2
1009,26490,1,1.0,2,1.0,8,4,7,5,,2,1,2,2,7,1,2,5,3,Version 2,.4590904712677,2,1,21,1,2,2,1,1,2,2.0,2,1,1
1010,26491,1,1.0,1,1.0,8,4,4,5,,2,1,1,2,7,1,2,2,3,Version 2,.440841048955917,1,1,21,2,2,3,1,1,2,2.0,4,3,1
1011,26492,2,2.0,1,2.0,8,4,6,2,,1,2,5,3,1,1,2,1,1,Version 2,2.19072103500366,1,1,21,2,3,2,3,3,1,2.0,4,3,2
1012,26493,1,1.0,1,1.0,1,1,6,4,,3,3,3,2,6,1,2,1,1,Version 2,7.74475193023682,1,1,21,3,1,2,3,3,2,7.0,1,1,1
1040,26521,2,,1,,8,4,6,1,,1,2,5,3,1,1,3,2,3,Version 2,1.01382374763489,1,1,1,2,3,2,2,2,1,,2,3,1
1041,26522,2,,2,,4,2,4,4,,1,2,6,1,2,1,3,1,2,Version 2,2.01219058036804,2,1,1,2,2,2,2,3,1,,3,1,1
1042,26523,2,,1,,7,13,3,1,,1,2,5,3,1,6,3,5,3,Version 2,.831175148487091,7,2,1,1,1,2,3,3,3,,2,3,4
