,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
3951,31110,2,2.0,1,2.0,3,2,20,4,2.0,3,4,3,1,4,1,4,2,3,Version 2,.667925477027893,1,1,30,3,1,2,3,3,1,7.0,3,3,2
3957,31120,1,,2,,8,4,9,1,2.0,2,1,2,1,5,1,3,5,3,Version 2,.992735862731934,2,1,31,3,2,1,1,1,2,2.0,2,1,2
3959,31124,1,,2,1.0,5,7,2,1,2.0,4,1,2,1,5,2,4,1,3,Version 2,.743746757507324,4,2,28,3,4,1,3,1,4,3.0,2,2,5
3961,31127,1,,2,1.0,2,1,4,4,2.0,2,1,2,2,7,1,4,1,2,Version 2,.665914535522461,2,1,28,1,1,1,1,1,2,6.0,1,5,1
3965,31139,2,,2,,5,3,3,4,2.0,3,4,4,3,3,1,3,3,3,Version 2,.83242267370224,2,1,15,2,1,2,2,2,1,3.0,2,2,1
3966,31141,1,,1,1.0,3,6,8,5,2.0,4,1,1,1,5,2,3,2,3,Version 2,.309627652168274,3,2,44,3,2,2,3,1,2,2.0,1,3,1
3970,31148,2,2.0,1,1.0,1,1,9,4,2.0,1,2,5,1,2,1,4,2,3,Version 2,.473473519086838,1,1,36,3,1,3,3,2,2,2.0,1,2,2
3973,31155,2,,2,,6,3,9,1,2.0,1,2,6,3,1,1,3,5,3,Version 2,.734493732452393,2,1,31,3,2,2,2,2,1,3.0,2,2,2
3976,31160,1,,1,1.0,7,8,2,4,2.0,5,3,3,1,4,2,4,1,3,Version 2,.925010859966278,3,2,28,1,1,1,1,1,2,2.0,1,1,1
3989,31181,1,1.0,1,1.0,8,4,9,5,2.0,3,3,3,2,6,1,4,2,3,Version 2,.670034050941467,1,1,36,1,1,1,1,1,2,7.0,1,1,1
3995,31194,2,,1,,2,1,3,4,2.0,3,3,3,1,4,1,3,3,3,Version 2,.55367249250412,1,1,15,2,2,1,2,2,2,2.0,1,3,1
