,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
11722,51078,1,,1,1.0,3,6,1,2,2.0,4,1,1,1,5,2,2,2,3,Version 1,0.27332377433776894,3,2,23,2,2,1,1,3,1,2.0,2.0,2
11723,51083,2,2.0,1,2.0,4,2,1,4,2.0,3,3,3,3,3,1,2,1,1,Version 1,0.5282118320465089,1,1,46,1,1,4,2,1,2,2.0,1.0,2
11731,51103,2,2.0,1,2.0,6,11,6,4,1.0,7,3,3,3,3,3,2,1,3,Version 1,0.5567638874053961,5,2,46,2,1,3,2,1,2,1.0,2.0,2
11732,51104,2,2.0,1,2.0,6,11,6,4,1.0,7,3,3,3,3,3,2,1,3,Version 1,0.5567638874053961,5,2,46,2,1,3,2,1,2,1.0,2.0,2
11737,51110,1,,1,1.0,6,3,6,4,2.0,2,1,1,1,5,1,2,5,3,Version 1,0.42881190776825,1,1,23,1,2,2,1,3,1,2.0,2.0,1
11742,51131,1,1.0,1,1.0,6,7,4,4,2.0,4,1,1,1,5,2,4,1,3,Version 1,0.708306729793549,3,2,18,2,2,1,1,3,1,2.0,2.0,2
11745,51136,1,1.0,1,2.0,6,3,11,4,2.0,2,1,1,1,5,1,2,1,1,Version 1,0.438135653734207,1,1,20,2,3,5,5,4,1,2.0,2.0,1
11750,51147,1,1.0,1,1.0,6,3,3,5,2.0,2,1,1,1,5,1,2,2,3,Version 1,0.35623094439506503,1,1,46,2,2,1,1,3,1,2.0,2.0,1
11751,51149,2,2.0,1,2.0,6,11,1,5,1.0,1,2,5,1,2,3,2,5,3,Version 1,0.7520018815994259,5,2,20,3,1,3,2,1,2,2.0,2.0,2
11752,51161,1,1.0,1,,4,2,1,4,2.0,2,1,1,2,7,1,3,2,3,Version 1,0.0926943048834801,1,1,3,2,2,1,1,3,1,2.0,2.0,1
11755,51166,1,,2,1.0,1,1,2,4,2.0,2,1,2,1,5,1,2,1,2,Version 1,0.45325678586959794,2,1,23,2,2,1,1,3,1,2.0,2.0,1
11763,51185,2,2.0,1,2.0,3,2,3,5,2.0,1,2,5,3,1,1,2,2,3,Version 1,0.572229504585266,1,1,46,1,1,3,2,1,2,2.0,1.0,1
11766,51192,2,2.0,2,2.0,7,4,5,5,2.0,3,3,4,3,3,1,2,1,2,Version 1,1.11764049530029,2,1,46,1,1,4,2,1,2,2.0,2.0,1
11774,51222,1,2.0,1,1.0,7,4,1,1,2.0,2,1,1,1,5,1,2,1,1,Version 1,0.584536850452423,1,1,46,1,3,2,4,3,1,2.0,2.0,1
11784,51249,2,4.0,2,2.0,2,1,11,3,2.0,3,3,4,3,3,1,2,1,2,Version 1,0.689814269542694,2,1,20,1,1,4,4,1,2,2.0,1.0,1
11787,51264,1,1.0,1,1.0,8,4,3,2,2.0,2,1,1,2,7,1,2,5,3,Version 1,0.584536850452423,1,1,46,2,2,1,1,3,1,2.0,2.0,1
11798,51294,2,2.0,2,2.0,6,3,2,4,2.0,1,2,6,3,1,1,3,2,3,Version 1,1.23309969902039,2,1,40,1,1,4,2,1,2,2.0,2.0,2
11800,51300,1,1.0,1,1.0,3,10,3,2,1.0,6,1,1,2,7,3,2,2,3,Version 1,0.35623094439506503,5,2,46,3,3,1,1,4,1,2.0,2.0,3
11801,51305,1,1.0,2,1.0,8,4,8,1,2.0,3,3,4,1,4,1,2,1,2,Version 1,0.7349646091461178,2,1,46,2,1,1,2,3,1,1.0,2.0,1
11818,51346,1,2.0,1,1.0,8,4,3,2,2.0,2,1,1,1,5,1,4,1,1,Version 1,1.5194963216781598,1,1,18,1,2,1,1,3,1,2.0,2.0,1
11824,51359,1,1.0,1,1.0,8,4,8,2,2.0,2,1,1,1,5,1,2,1,1,Version 1,0.642167270183563,1,1,46,2,2,1,1,3,1,2.0,2.0,2
11828,51372,2,2.0,2,2.0,6,3,1,3,2.0,1,2,6,1,2,1,4,1,2,Version 1,0.551738500595093,2,1,37,2,1,3,2,3,2,1.0,2.0,1
11830,51377,2,2.0,2,,6,3,2,1,2.0,1,2,6,3,1,1,2,5,3,Version 1,0.979376375675201,2,1,14,1,1,3,2,1,2,2.0,2.0,2
11832,51380,2,2.0,1,2.0,8,4,1,1,2.0,1,2,5,1,2,1,2,1,1,Version 1,0.938967406749725,1,1,46,1,1,4,2,1,2,2.0,2.0,1
11837,51390,2,2.0,1,,6,3,3,4,2.0,1,2,5,3,1,1,3,1,1,Version 1,1.46186292171478,1,1,9,2,1,3,2,1,2,2.0,2.0,2
11843,51405,2,2.0,1,2.0,6,3,8,4,2.0,1,2,5,3,1,1,2,1,1,Version 1,0.580289125442505,1,1,46,3,1,3,2,1,2,2.0,1.0,2
11845,51407,1,2.0,2,1.0,3,2,4,5,2.0,3,3,4,2,6,1,4,1,2,Version 1,0.772569239139557,2,1,18,1,1,1,3,2,1,2.0,2.0,1
11847,51414,1,,1,1.0,6,3,7,2,2.0,2,1,1,2,7,1,2,2,3,Version 1,0.336923629045486,1,1,23,2,2,1,1,3,1,2.0,2.0,1
11875,51486,1,1.0,1,1.0,6,3,3,4,2.0,3,3,3,1,4,1,2,5,3,Version 1,0.328828573226929,1,1,46,2,2,1,1,3,1,1.0,2.0,1
11876,51487,1,1.0,1,1.0,6,3,3,4,2.0,3,3,3,1,4,1,2,5,3,Version 1,0.328828573226929,1,1,46,2,2,1,1,3,1,1.0,2.0,1
11884,51506,1,1.0,2,1.0,8,4,1,2,2.0,2,1,2,2,7,1,2,5,3,Version 1,0.952447235584259,2,1,20,1,2,1,1,3,1,2.0,2.0,1
11889,51518,1,,1,1.0,3,6,5,2,2.0,4,1,1,1,5,2,2,2,3,Version 1,0.262390822172165,3,2,23,2,2,1,4,3,1,2.0,1.0,1
11890,51519,1,,1,1.0,3,6,5,2,2.0,4,1,1,1,5,2,2,2,3,Version 1,0.262390822172165,3,2,23,2,2,1,4,3,1,2.0,1.0,1
11892,51528,1,1.0,1,2.0,4,6,13,3,2.0,4,1,1,3,5,2,2,1,3,Version 1,0.69681990146637,3,2,20,1,2,3,1,3,1,2.0,2.0,1
11895,51536,2,2.0,1,,8,4,2,2,2.0,3,3,3,1,4,1,2,5,3,Version 1,1.52115595340729,1,1,14,1,2,4,2,1,2,2.0,2.0,1
11901,51547,2,2.0,2,2.0,8,4,25,4,2.0,1,2,6,1,2,1,3,3,3,Version 1,2.41519522666931,2,1,41,2,1,4,2,1,2,1.0,2.0,1
