,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
301,25781,1,1.0,2,1.0,5,3,11,4,2.0,3,3,4,1,4,1,1,1,2,Version 3,2.98074889183044,2,1,4,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1,1.0,4.0,1,2,1,1,2,2.0,2.0,2.0
302,25782,2,2.0,2,1.0,3,2,45,4,2.0,1,2,6,1,2,1,1,1,2,Version 3,2.54922533035278,2,1,4,4.0,1.0,4.0,2.0,1.0,2.0,1.0,2,1.0,4.0,4,4,2,1,2,2.0,2.0,4.0
304,25784,1,1.0,1,1.0,6,3,19,5,2.0,2,1,1,2,7,1,1,3,3,Version 3,.783298313617706,1,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,2,1,1,1,2,3.0,2.0,7.0
305,25785,1,1.0,1,1.0,5,13,11,5,2.0,8,1,1,2,7,5,1,1,3,Version 3,3.30161619186401,7,2,4,3.0,3.0,3.0,2.0,1.0,1.0,2.0,4,1.0,3.0,1,1,1,1,1,1.0,2.0,2.0
306,25786,2,2.0,2,1.0,7,4,23,2,2.0,3,3,4,3,3,1,1,1,2,Version 3,.763216555118561,2,1,4,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,3,4,1,2,3,2.0,1.0,2.0
307,25787,1,1.0,1,1.0,8,4,5,5,2.0,2,1,1,1,5,1,1,5,3,Version 3,.537578046321869,1,1,4,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,2,1,2,1,1.0,2.0,1.0
309,25789,1,1.0,2,1.0,5,7,42,5,2.0,4,1,2,2,7,2,1,1,3,Version 3,.423655450344086,4,2,4,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1.0,4.0,2,2,1,1,2,2.0,1.0,3.0
310,25790,1,1.0,1,1.0,1,9,33,4,1.0,7,3,3,2,6,3,1,1,3,Version 3,.784276485443115,5,2,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,1,1,1,1,1,3.0,1.0,7.0
311,25791,1,1.0,2,,1,1,50,2,2.0,2,1,2,2,7,1,1,1,2,Version 3,2.48631763458252,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,1,1,4.0,1.0,7.0
312,25792,1,1.0,1,1.0,8,12,31,1,1.0,6,1,1,3,5,3,1,1,3,Version 3,5.83082151412964,5,2,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4,1.0,1.0,1,1,1,1,2,1.0,2.0,3.0
313,25793,1,1.0,1,1.0,6,3,6,5,2.0,2,1,1,2,7,1,1,2,3,Version 3,.429174810647964,1,1,4,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,2.0
316,25796,1,1.0,1,1.0,3,2,11,2,2.0,2,1,1,2,7,1,1,1,1,Version 3,4.40876865386963,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,1.0,2.0
317,25797,1,1.0,1,1.0,4,2,5,3,2.0,2,1,1,2,7,1,1,2,3,Version 3,5.46545886993408,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1,1,1,1,1,3.0,2.0,6.0
319,25799,1,2.0,2,1.0,6,11,22,2,1.0,7,3,4,3,3,3,1,1,3,Version 3,.754738867282867,6,2,4,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,4,1,3,2,3,4.0,2.0,3.0
320,25800,2,2.0,2,1.0,4,2,30,4,2.0,1,2,6,3,1,1,1,1,2,Version 3,.880189180374146,2,1,4,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,2.0,2.0,3,3,2,2,3,4.0,2.0,1.0
321,25801,1,1.0,1,1.0,8,4,30,5,2.0,2,1,1,2,7,1,1,1,1,Version 3,.256297260522842,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,2,1,1,2,1.0,1.0,6.0
323,25803,1,1.0,1,1.0,8,12,48,2,1.0,7,3,3,1,4,3,1,1,3,Version 3,2.92246103286743,5,2,4,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,7.0
324,25804,1,1.0,2,1.0,7,4,20,4,2.0,2,1,2,2,7,1,1,1,2,Version 3,1.04342901706696,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1,1,1,1,1,2.0,2.0,7.0
325,25805,1,1.0,1,1.0,1,9,12,2,1.0,6,1,1,3,5,2,1,3,3,Version 3,2.62309527397156,5,2,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,1,1,1,1,3,3.0,2.0,5.0
326,25806,1,1.0,1,1.0,3,10,14,5,1.0,6,1,1,2,7,3,1,1,3,Version 3,5.00188779830933,5,2,4,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1,1.0,3.0,1,1,1,1,1,1.0,1.0,7.0
327,25807,2,2.0,2,3.0,3,2,6,2,2.0,1,2,6,3,1,1,1,1,2,Version 3,2.04096031188965,2,1,4,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3,1.0,4.0,3,4,2,2,4,2.0,2.0,7.0
329,25809,1,1.0,1,1.0,2,1,30,4,2.0,2,1,1,2,7,1,1,1,1,Version 3,5.57375383377075,1,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,1.0,4.0
330,25810,2,2.0,1,,1,13,25,3,2.0,8,4,3,1,4,5,1,1,3,Version 3,4.44424343109131,7,2,4,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,2.0,1.0,1,2,3,1,1,3.0,1.0,2.0
331,25811,1,1.0,1,1.0,5,3,53,4,2.0,2,1,1,2,7,1,1,1,1,Version 3,1.39314126968384,1,1,4,4.0,1.0,4.0,2.0,1.0,2.0,1.0,4,1.0,3.0,2,1,1,1,1,1.0,2.0,7.0
333,25813,2,2.0,1,1.0,8,4,4,3,2.0,1,2,5,1,2,1,1,1,1,Version 3,.685810983181,1,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3,1.0,1.0,4,2,2,1,1,1.0,1.0,2.0
334,25814,1,1.0,1,1.0,8,4,5,1,2.0,2,1,1,2,7,1,1,2,3,Version 3,2.73505902290344,1,1,4,4.0,2.0,1.0,1.0,2.0,2.0,2.0,5,2.0,1.0,1,1,1,1,1,3.0,2.0,1.0
335,25815,1,1.0,1,1.0,7,4,3,2,2.0,3,3,3,1,4,1,1,1,1,Version 3,.787801325321198,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1,1,1,2,2,3.0,1.0,7.0
336,25816,2,2.0,2,,8,4,10,3,2.0,3,3,4,3,3,1,1,2,3,Version 3,.404452800750732,2,1,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,4,3,2,2,3,2.0,1.0,3.0
337,25817,1,1.0,1,1.0,7,4,13,4,2.0,2,1,1,2,7,1,1,2,3,Version 3,2.41654086112976,1,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,4.0
338,25818,1,1.0,2,1.0,8,12,52,1,1.0,6,1,2,3,5,3,1,3,3,Version 3,8.37721347808838,6,2,4,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2,1.0,2.0,5,1,3,1,5,2.0,2.0,1.0
340,25820,1,1.0,2,1.0,8,4,53,5,2.0,2,1,2,2,7,1,1,3,3,Version 3,.991311490535736,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,2,2.0,2.0,7.0
341,25821,2,2.0,2,3.0,8,4,7,5,2.0,1,2,6,3,1,1,1,2,3,Version 3,.486967802047729,2,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5,1.0,2.0,3,2,2,2,4,2.0,1.0,2.0
343,25823,2,2.0,1,3.0,8,12,26,3,1.0,1,2,5,3,1,3,1,2,3,Version 3,.63597571849823,5,2,4,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,3,2,2,1,2,1.0,2.0,1.0
344,25824,1,1.0,2,1.0,6,3,11,3,2.0,2,1,2,1,5,1,1,1,2,Version 3,1.881272315979,2,1,4,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,2.0,2.0
345,25825,2,2.0,1,3.0,6,13,1,2,2.0,8,3,3,1,4,4,1,1,3,Version 3,.908111810684204,7,2,4,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1.0,4,2,2,2,2,1.0,1.0,7.0
346,25826,2,,1,1.0,8,4,17,5,2.0,3,3,3,3,3,1,1,2,3,Version 3,1.05192065238953,1,1,4,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,4,2,2,1,2,1.0,2.0,1.0
348,25828,2,2.0,1,,8,4,4,4,2.0,3,3,3,3,3,1,1,5,3,Version 3,.740323543548584,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,3,4,2,2,3,1.0,1.0,2.0
350,25830,1,1.0,1,1.0,4,13,27,4,2.0,8,1,1,2,7,5,1,1,3,Version 3,11.5830640792847,7,2,4,3.0,1.0,3.0,2.0,1.0,1.0,2.0,4,1.0,3.0,1,1,1,1,1,1.0,2.0,6.0
353,25833,1,1.0,1,1.0,6,3,8,2,,2,1,1,1,5,1,1,1,1,Version 3,1.07317698001862,1,1,4,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,2.0
354,25834,2,2.0,2,1.0,8,4,14,2,2.0,1,2,6,3,1,1,1,1,2,Version 3,.930316269397736,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3,2.0,2.0,3,4,2,3,1,4.0,2.0,7.0
355,25835,2,2.0,2,3.0,8,4,20,5,2.0,1,2,6,3,1,1,1,1,2,Version 3,2.56577634811401,2,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,3,5,2,2,3,2.0,2.0,2.0
356,25836,1,1.0,1,1.0,8,4,2,3,2.0,2,1,1,1,5,1,1,1,1,Version 3,.625845491886139,1,1,4,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,3,3.0,2.0,6.0
357,25837,1,1.0,1,1.0,8,4,48,5,2.0,2,1,1,2,7,1,1,1,1,Version 3,.586637139320374,1,1,4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4,1.0,1.0,1,2,1,1,2,1.0,2.0,1.0
358,25838,2,2.0,2,1.0,8,4,18,5,2.0,1,2,6,1,2,1,1,1,2,Version 3,.444388568401337,2,1,4,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,1,2,2,4.0,1.0,2.0
359,25839,1,1.0,1,1.0,5,3,7,4,2.0,2,1,1,1,5,1,1,1,1,Version 3,1.63487696647644,1,1,4,4.0,1.0,4.0,2.0,1.0,2.0,1.0,4,1.0,3.0,1,2,1,1,2,1.0,2.0,7.0
360,25840,1,1.0,2,1.0,8,4,15,5,2.0,2,1,2,1,5,1,1,2,3,Version 3,.592864334583282,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,2.0,7.0
361,25841,1,1.0,2,1.0,8,4,53,5,2.0,2,1,2,2,7,1,1,1,2,Version 3,.495655357837677,2,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,1,1,2,4.0,2.0,3.0
362,25842,1,1.0,2,1.0,8,12,14,5,1.0,6,1,2,2,7,3,1,3,3,Version 3,.693082630634308,6,2,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,1,2,4.0,2.0,2.0
363,25843,2,2.0,2,3.0,6,3,3,2,2.0,1,2,6,3,1,1,1,1,2,Version 3,1.81347644329071,2,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,4,3,1,2,2,2.0,2.0,2.0
364,25844,1,1.0,2,1.0,3,2,14,4,2.0,3,3,4,1,4,1,1,3,3,Version 3,8.18997001647949,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,3,1,4.0,1.0,3.0
365,25845,1,1.0,1,1.0,8,4,6,5,2.0,3,3,3,1,4,1,1,2,3,Version 3,.288177222013474,1,1,4,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1,1,1,1,2,1.0,2.0,2.0
366,25846,1,1.0,1,1.0,6,3,7,3,2.0,2,1,1,2,7,1,1,2,3,Version 3,1.21996796131134,1,1,4,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,2.0,1.0
368,25848,1,,2,,4,13,7,5,2.0,8,1,2,1,5,5,1,1,3,Version 3,2.85559391975403,7,2,4,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,4.0,5,2,1,1,3,2.0,2.0,6.0
371,25851,2,2.0,2,1.0,8,4,21,4,2.0,1,2,6,3,1,1,1,1,2,Version 3,.312752962112427,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2,3,2,2,4,4.0,1.0,7.0
372,25852,1,1.0,1,1.0,8,4,4,5,2.0,2,1,1,2,7,1,1,1,1,Version 3,.576354920864105,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,2,1.0,2.0,7.0
373,25853,2,2.0,2,1.0,6,3,45,4,2.0,1,2,6,3,1,1,1,1,2,Version 3,1.13254451751709,2,1,4,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3,2.0,2.0,4,3,2,2,3,4.0,2.0,2.0
374,25854,1,1.0,2,1.0,3,13,12,5,2.0,8,1,2,1,5,5,1,3,3,Version 3,16.0295829772949,7,2,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,1,2.0,1.0,7.0
375,25855,1,1.0,2,1.0,8,4,7,2,2.0,3,3,4,2,6,1,1,1,2,Version 3,1.52918183803558,2,1,4,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,2.0,1.0
376,25856,1,1.0,1,1.0,8,4,3,1,2.0,2,1,1,2,7,1,1,1,1,Version 3,1.4661717414856,1,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,2,3.0,2.0,3.0
377,25857,2,2.0,1,3.0,5,3,48,3,2.0,1,2,5,3,1,1,1,1,1,Version 3,2.05655336380005,1,1,4,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,3,3,2,2,1,3.0,2.0,2.0
381,25861,3,2.0,1,1.0,8,4,12,1,2.0,3,4,3,2,6,1,1,3,3,Version 3,2.67594885826111,1,1,4,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,4,3,3,3,2,3.0,2.0,5.0
383,25863,1,1.0,2,1.0,8,4,1,2,2.0,2,1,2,2,7,1,1,1,2,Version 3,1.01945471763611,2,1,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,1,1,4.0,1.0,3.0
384,25864,1,1.0,2,1.0,8,4,48,2,2.0,3,3,4,1,4,1,1,1,2,Version 3,3.11292719841003,2,1,4,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,2.0,1.0
385,25865,1,1.0,1,1.0,8,4,14,2,2.0,3,3,3,1,4,1,1,1,1,Version 3,1.10108375549316,1,1,4,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,2,1.0,1.0,1.0
386,25866,1,1.0,2,1.0,7,4,2,2,2.0,2,1,2,2,7,1,1,5,3,Version 3,1.70058786869049,2,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,2.0,2.0
387,25867,2,2.0,1,3.0,7,4,42,2,2.0,3,4,3,3,3,1,1,1,1,Version 3,1.07896411418915,1,1,4,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3,2.0,1.0,3,2,2,2,3,3.0,2.0,1.0
388,25868,2,3.0,1,,8,4,53,5,2.0,1,2,5,3,1,1,1,1,1,Version 3,.586637139320374,1,1,4,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2,2,2,2,1,3.0,2.0,1.0
389,25869,2,2.0,1,1.0,8,4,43,2,2.0,1,2,5,1,2,1,1,1,1,Version 3,.536551773548126,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,4,2,3,2,3,1.0,1.0,2.0
390,25870,1,1.0,1,1.0,8,12,2,2,1.0,6,1,1,1,5,1,1,1,3,Version 3,2.2378146648407,5,2,4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1,2,1,2,2,1.0,1.0,1.0
391,25871,1,1.0,1,1.0,6,3,11,1,2.0,3,3,3,2,6,1,1,1,1,Version 3,4.76016283035278,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,1.0,6.0
392,25872,1,1.0,2,1.0,6,11,14,5,1.0,6,1,2,1,5,5,1,1,3,Version 3,1.57188856601715,6,2,4,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3,1.0,4.0,1,2,1,1,2,2.0,2.0,7.0
394,25874,1,1.0,2,1.0,6,3,3,3,2.0,2,1,2,3,5,1,1,1,2,Version 3,.431478202342987,2,1,4,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,2.0,1.0
395,25875,2,2.0,2,1.0,6,11,29,1,1.0,1,2,6,1,2,1,1,1,3,Version 3,5.1991229057312,6,2,4,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,3,2,2,2,1,2.0,2.0,3.0
397,25877,2,2.0,1,1.0,6,3,16,3,2.0,1,2,5,3,1,1,1,1,1,Version 3,1.21996796131134,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3,2.0,1.0,3,4,3,1,1,3.0,1.0,7.0
398,25878,1,1.0,2,1.0,1,9,14,2,1.0,7,3,4,2,6,1,1,3,3,Version 3,2.21627831459045,6,2,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,2,1,1,2,4.0,2.0,6.0
399,25879,2,2.0,1,1.0,6,3,1,5,2.0,3,3,3,3,3,1,1,2,3,Version 3,.449184209108353,1,1,4,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1,1.0,3.0,3,2,3,3,2,1.0,2.0,2.0
400,25880,3,2.0,2,1.0,3,10,33,5,1.0,7,3,4,3,3,4,1,3,3,Version 3,.862056434154511,6,2,4,1.0,5.0,4.0,2.0,1.0,2.0,1.0,2,1.0,4.0,4,1,1,1,2,2.0,2.0,1.0
401,25881,2,2.0,2,1.0,6,3,33,5,2.0,3,3,4,3,3,1,1,1,2,Version 3,.430250227451324,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,3,3,2,3,2,2.0,2.0,7.0
654,26135,2,2.0,1,2.0,6,11,3,5,1.0,1,2,5,3,1,4,1,3,3,Version 3,1.44074189662933,5,2,26,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,3,1,2,1,2,3.0,2.0,2.0
655,26136,1,2.0,1,1.0,6,3,1,5,2.0,2,1,1,1,5,1,1,3,3,Version 3,4.1124210357666,1,1,26,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,2,3.0,2.0,2.0
656,26137,3,3.0,2,,8,4,1,5,2.0,3,3,4,1,4,1,1,3,3,Version 3,2.43699216842651,2,1,26,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,1.0,2.0,4,4,3,1,3,2.0,1.0,2.0
658,26139,2,2.0,2,2.0,6,3,3,1,2.0,1,2,6,3,1,1,1,3,3,Version 3,19.6162452697754,2,1,26,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2,2.0,4.0,3,5,2,1,3,4.0,2.0,1.0
659,26140,1,1.0,1,1.0,7,4,3,2,2.0,2,1,1,2,7,1,1,3,3,Version 3,4.27570390701294,1,1,26,1.0,5.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,1,1,1,1,1,3.0,1.0,1.0
769,26250,2,2.0,1,2.0,7,4,8,2,,3,3,3,3,3,1,2,5,3,Version 3,1.84821593761444,1,1,21,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3,2.0,1.0,3,3,2,2,3,3.0,1.0,7.0
771,26252,2,2.0,1,2.0,8,4,7,1,,1,2,5,3,1,1,2,5,3,Version 3,3.76990747451782,1,1,21,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,1.0,3,4,3,3,5,1.0,1.0,3.0
772,26253,1,1.0,2,1.0,8,4,8,2,,2,1,2,1,5,1,2,1,2,Version 3,.87247508764267,2,1,21,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,2,2.0,1.0,1.0
773,26254,1,1.0,1,1.0,8,4,6,2,,2,1,1,2,7,1,2,2,3,Version 3,1.09536051750183,1,1,21,4.0,3.0,1.0,2.0,2.0,2.0,2.0,4,1.0,1.0,1,1,1,1,1,1.0,2.0,2.0
774,26255,1,1.0,1,1.0,6,3,4,4,,2,1,1,1,5,1,2,2,3,Version 3,1.85520589351654,1,1,21,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,2,1,1,2,1.0,2.0,2.0
775,26256,1,1.0,1,1.0,6,3,5,5,,2,1,1,2,7,1,2,2,3,Version 3,1.01288962364197,1,1,21,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,2,1,1,1,2,1.0,2.0,1.0
777,26258,1,1.0,2,1.0,8,4,6,5,,2,1,2,2,7,1,2,1,2,Version 3,1.34035849571228,2,1,21,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4,2.0,2.0,1,1,1,1,3,4.0,1.0,2.0
778,26259,1,1.0,1,1.0,3,2,6,4,,2,1,1,2,7,1,2,1,1,Version 3,7.76008033752441,1,1,21,4.0,1.0,4.0,2.0,1.0,2.0,1.0,4,1.0,3.0,1,1,1,1,2,1.0,2.0,3.0
779,26260,1,1.0,1,1.0,5,3,6,5,,3,3,3,1,4,1,2,1,1,Version 3,2.79144811630249,1,1,21,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,1.0,2.0
780,26261,1,1.0,2,1.0,8,4,7,5,,2,1,2,1,5,1,2,5,3,Version 3,.4590904712677,2,1,21,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1,5,1,1,2,2.0,2.0,2.0
878,26359,2,2.0,1,1.0,6,3,7,5,2.0,1,2,5,3,1,1,1,2,3,Version 3,.804157555103302,1,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2,2.0,1.0,4,1,1,2,1,3.0,2.0,2.0
879,26360,1,2.0,2,1.0,8,13,41,4,2.0,8,3,4,2,6,5,1,1,3,Version 3,3.18487429618835,7,2,4,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3,1.0,2.0,4,2,1,1,2,2.0,1.0,6.0
880,26361,1,1.0,1,1.0,6,3,4,5,2.0,3,3,3,1,4,1,1,1,1,Version 3,1.6083151102066,1,1,4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,3,1,3.0,2.0,1.0
881,26362,1,1.0,1,1.0,8,4,14,4,2.0,2,1,1,1,5,1,1,1,1,Version 3,1.05979466438293,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,2,1.0,1.0,2.0
882,26363,2,2.0,2,3.0,8,4,9,2,2.0,1,2,6,3,1,1,1,1,2,Version 3,2.91875815391541,2,1,4,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3,1.0,4.0,3,2,2,2,5,2.0,1.0,3.0
883,26364,1,1.0,1,1.0,8,4,42,2,2.0,2,1,1,1,5,1,1,1,1,Version 3,.946378648281097,1,1,4,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,1,1,1,1,2,3.0,2.0,3.0
884,26365,1,1.0,2,1.0,8,4,53,4,2.0,2,1,2,1,5,1,1,3,3,Version 3,.998731672763824,2,1,4,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,1,1,1,1,2,2.0,2.0,2.0
885,26366,1,1.0,1,1.0,8,4,2,4,2.0,2,1,1,1,5,1,1,5,3,Version 3,2.16640949249268,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,2,1,1,2,3.0,1.0,2.0
887,26368,1,1.0,2,1.0,7,4,4,5,2.0,3,3,4,1,4,1,1,2,3,Version 3,1.36620879173279,2,1,4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,5,1,1,1,4.0,2.0,1.0
888,26369,1,1.0,1,1.0,8,12,53,4,1.0,6,1,1,2,7,1,1,3,3,Version 3,1.17523086071014,5,2,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,1,1,1,1,1,3.0,2.0,7.0
889,26370,2,2.0,1,3.0,8,4,9,1,2.0,1,2,5,3,1,1,1,1,1,Version 3,2.29997110366821,1,1,4,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,3,2,3,2,2,3.0,2.0,3.0
890,26371,1,2.0,2,1.0,3,6,8,3,2.0,4,1,2,2,7,2,1,2,3,Version 3,.977274954319,4,2,4,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4,2.0,4.0,1,1,1,2,1,4.0,2.0,3.0
892,26373,1,1.0,1,1.0,2,9,20,4,1.0,6,1,1,2,7,3,1,2,3,Version 3,12.1555871963501,5,2,4,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2,1.0,3.0,1,1,1,1,2,1.0,2.0,1.0
894,26375,1,1.0,2,1.0,8,4,18,5,2.0,2,1,2,2,7,1,1,1,2,Version 3,.697108566761017,2,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,2,2.0,2.0,4.0
897,26378,2,2.0,2,1.0,8,4,4,1,2.0,3,3,4,3,3,1,1,2,3,Version 3,1.94326770305634,2,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,3,2.0,2.0,3,1,2,2,3,4.0,1.0,2.0
898,26379,1,1.0,1,1.0,8,8,42,1,2.0,4,1,1,2,7,2,1,1,3,Version 3,.721778631210327,3,2,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,2.0,3.0
