,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
6271,36353,1,1.0,2,3.0,3,2,1,2,2.0,2,1,2,2,7,1,4,1,2,Version 3,.234526783227921,2,1,17,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1,1.0,4.0,1,1,1,1,1,2.0,2.0,7.0
6272,36354,1,1.0,2,3.0,3,2,1,2,2.0,2,1,2,2,7,1,4,1,2,Version 3,.234526783227921,2,1,17,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1,1.0,4.0,1,1,1,1,1,2.0,2.0,7.0
6277,36361,1,,2,1.0,8,4,3,2,2.0,2,1,2,2,7,1,2,1,2,Version 3,.631359279155731,2,1,23,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,1,2,4.0,2.0,1.0
6279,36369,1,1.0,2,,3,6,1,2,2.0,4,1,2,1,5,2,3,1,3,Version 3,.374920576810837,4,2,38,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4,1.0,4.0,1,1,1,1,1,2.0,2.0,3.0
6280,36378,2,2.0,2,1.0,3,2,4,4,2.0,1,2,6,1,2,1,2,1,2,Version 3,.91056501865387,2,1,20,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,1.0,4.0,4,3,2,2,3,2.0,1.0,3.0
6282,36381,1,1.0,1,1.0,6,3,3,3,2.0,2,1,1,1,5,1,2,5,3,Version 3,.175569817423821,1,1,25,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,3,2,1,1,2,1.0,1.0,3.0
6284,36387,2,2.0,2,2.0,3,2,3,4,2.0,1,2,6,3,1,1,2,1,2,Version 3,1.01337087154388,2,1,20,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,4.0,3,2,2,2,2,2.0,1.0,1.0
6287,36390,2,2.0,2,3.0,3,2,8,5,2.0,3,3,4,1,4,1,4,1,2,Version 3,3.23042416572571,2,1,19,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,4,2,1,2,2,2.0,2.0,4.0
6290,36396,1,1.0,1,1.0,1,5,4,1,2.0,5,3,3,2,6,2,4,1,3,Version 3,.539509296417236,3,2,18,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1,2.0,3.0,2,1,1,1,1,3.0,1.0,3.0
6291,36397,2,2.0,1,,6,3,2,3,2.0,1,2,5,3,1,1,2,5,3,Version 3,.855719327926636,1,1,14,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1.0,4,3,2,2,3,1.0,1.0,1.0
6297,36416,1,1.0,1,1.0,4,2,3,5,2.0,2,1,1,2,7,1,2,1,1,Version 3,.551202893257141,1,1,20,4.0,1.0,2.0,2.0,1.0,1.0,1.0,4,1.0,3.0,1,1,1,1,1,1.0,1.0,3.0
6298,36417,1,1.0,2,1.0,5,3,13,4,2.0,2,1,2,2,7,1,2,1,2,Version 3,.931262671947479,2,1,20,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4,1.0,2.0,1,1,1,1,1,2.0,2.0,1.0
6301,36431,1,,2,1.0,4,2,3,4,2.0,2,1,2,2,7,1,2,1,2,Version 3,.35516831278801,2,1,23,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2,1.0,4.0,1,2,1,1,1,2.0,2.0,7.0
6309,36443,1,2.0,1,1.0,2,1,8,5,2.0,3,3,3,1,4,1,4,1,1,Version 3,1.8371080160141,1,1,19,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,2,1,1,1,1,3.0,2.0,2.0
6311,36447,1,1.0,2,,6,3,5,2,2.0,2,1,2,1,5,1,3,1,2,Version 3,.432701408863068,2,1,1,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,1,2.0,1.0,6.0
6316,36461,1,1.0,2,3.0,3,2,1,2,2.0,2,1,2,3,5,1,2,5,3,Version 3,.535794913768768,2,1,20,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1,2.0,4.0,1,2,1,2,2,4.0,2.0,3.0
6322,36473,1,1.0,1,1.0,8,8,13,3,2.0,4,1,1,1,5,2,2,1,3,Version 3,1.10161101818085,3,2,20,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,3.0,1,1,1,1,1,3.0,1.0,7.0
6326,36480,2,,2,2.0,3,2,8,1,2.0,3,4,4,3,3,1,2,5,3,Version 3,.953815221786499,2,1,23,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,1.0,4.0,3,4,2,2,2,2.0,1.0,3.0
6338,36516,1,1.0,1,1.0,5,7,4,5,2.0,4,1,1,2,7,2,4,1,3,Version 3,.688069343566895,3,2,18,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,2.0,3.0
6343,36531,2,2.0,1,2.0,8,4,2,5,2.0,1,2,5,3,1,1,2,1,1,Version 3,2.12141847610474,1,1,20,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,3,2,2,1,3,3.0,2.0,2.0
6350,36547,2,2.0,1,2.0,2,1,6,5,2.0,1,2,5,3,1,1,2,1,1,Version 3,.589699923992157,1,1,21,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4,1.0,3.0,3,3,2,2,2,1.0,1.0,1.0
6354,36551,1,1.0,2,1.0,2,5,13,5,2.0,4,1,2,1,5,2,2,1,3,Version 3,.69681990146637,4,2,20,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,1,2.0,1.0,6.0
6355,36553,1,1.0,1,1.0,3,2,2,4,2.0,3,3,3,1,4,1,3,2,3,Version 3,.795290172100067,1,1,40,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3,1.0,3.0,1,1,1,1,1,1.0,2.0,1.0
6360,36569,1,1.0,2,1.0,7,4,3,2,2.0,2,1,2,1,5,1,2,1,2,Version 3,1.12142992019653,2,1,20,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1,2,3,2,1,2.0,1.0,1.0
6364,36581,1,1.0,2,,7,8,2,1,2.0,4,1,2,3,5,2,3,2,3,Version 3,.139353439211845,4,2,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,1,2,1,1,2,2.0,1.0,3.0
6365,36585,3,1.0,2,1.0,5,3,8,4,2.0,2,1,2,2,7,1,4,1,2,Version 3,3.29164361953735,2,1,19,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,1.0,7.0
6367,36590,2,2.0,2,2.0,3,2,2,4,2.0,3,3,4,3,3,1,3,2,3,Version 3,1.23309969902039,2,1,40,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2,1.0,4.0,3,1,2,2,1,2.0,1.0,2.0
6368,36599,2,2.0,2,2.0,8,4,2,2,2.0,1,2,6,3,1,1,4,1,2,Version 3,.414540767669678,2,1,17,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3,1.0,2.0,3,3,2,2,2,2.0,1.0,2.0
6377,36627,2,2.0,2,2.0,3,2,2,1,2.0,1,2,6,1,2,1,3,2,3,Version 3,1.23309969902039,2,1,40,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2,1.0,4.0,3,4,2,2,3,2.0,1.0,3.0
6379,36631,1,1.0,1,1.0,3,2,3,4,2.0,2,1,1,2,7,1,2,2,3,Version 3,.356230944395065,1,1,46,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,1.0,1,1,1,1,1,1.0,1.0,6.0
6380,36633,1,1.0,1,1.0,6,7,13,3,2.0,4,1,1,2,7,2,2,1,3,Version 3,.69681990146637,3,2,20,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2,2.0,3.0,1,1,1,1,1,3.0,2.0,3.0
6389,36650,1,2.0,2,2.0,3,2,6,2,2.0,1,2,6,3,1,1,2,1,2,Version 3,.484851121902466,2,1,21,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,3,2,2,2,3,4.0,2.0,1.0
6391,36653,2,2.0,1,2.0,5,11,2,4,1.0,1,2,5,3,1,1,2,1,3,Version 3,1.19339442253113,5,2,20,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1.0,1.0,3,4,2,2,2,1.0,1.0,6.0
6392,36663,1,1.0,2,1.0,4,2,2,5,,3,3,4,1,4,1,3,2,3,Version 3,.935025036334991,2,1,40,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,1.0,3.0
6395,36673,2,,2,2.0,8,4,8,1,2.0,1,2,6,3,1,1,2,5,3,Version 3,1.69553446769714,2,1,23,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3,1.0,4.0,4,2,2,1,2,2.0,1.0,1.0
6399,36690,1,,1,1.0,8,12,3,3,1.0,6,1,1,1,5,3,2,1,3,Version 3,.551643252372742,5,2,23,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,2.0,3.0
6400,36691,1,1.0,1,1.0,8,4,3,5,2.0,2,1,1,3,5,1,2,5,3,Version 3,.312098890542984,1,1,25,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1,2.0,1.0,2,2,1,1,1,3.0,2.0,2.0
6405,36703,1,1.0,2,1.0,4,2,2,5,2.0,2,1,2,1,5,1,3,2,3,Version 3,.935025036334991,2,1,40,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1,1.0,4.0,1,1,1,1,1,2.0,2.0,2.0
6406,36704,1,1.0,2,1.0,4,2,2,5,2.0,2,1,2,1,5,1,3,2,3,Version 3,.935025036334991,2,1,40,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1,1.0,4.0,1,1,1,1,1,2.0,2.0,2.0
6408,36708,2,2.0,1,,7,4,4,2,2.0,3,3,3,3,3,1,3,5,3,Version 3,.356073409318924,1,1,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,2.0,1.0,1,3,1,1,1,3.0,2.0,6.0
6413,36729,2,,2,2.0,1,1,8,2,2.0,1,2,6,1,2,1,2,5,3,Version 3,.816828548908234,2,1,23,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4,2.0,2.0,3,2,2,1,2,4.0,2.0,1.0
6421,36756,1,1.0,2,1.0,4,10,2,3,1.0,6,1,2,3,5,3,2,1,3,Version 3,.850283265113831,6,2,20,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,2.0,1.0
6422,36757,1,1.0,2,1.0,4,10,2,3,1.0,6,1,2,3,5,3,2,1,3,Version 3,.850283265113831,6,2,20,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,2,2.0,2.0,1.0
6430,36779,1,1.0,1,1.0,8,4,1,1,2.0,3,3,3,1,4,1,2,5,3,Version 3,.83219039440155,1,1,20,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,3,1,1,1,1,3.0,1.0,1.0
6431,36782,2,2.0,2,2.0,7,4,2,1,2.0,1,2,6,3,1,1,4,1,2,Version 3,.414540767669678,2,1,17,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,4,1,2,2,2,2.0,2.0,3.0
6433,36784,1,1.0,1,1.0,3,2,8,4,2.0,2,1,1,2,7,1,4,1,1,Version 3,2.34297680854797,1,1,19,4.0,1.0,3.0,2.0,1.0,1.0,2.0,4,1.0,3.0,1,1,1,1,1,1.0,2.0,7.0
6440,36806,2,1.0,1,2.0,3,2,2,3,2.0,3,3,3,1,4,1,2,2,3,Version 3,.326806575059891,1,1,25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2,1.0,3.0,3,1,2,2,3,1.0,1.0,7.0
6441,36807,1,,1,1.0,4,6,3,4,2.0,4,1,1,1,5,2,2,1,3,Version 3,.258938282728195,3,2,23,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2,1.0,3.0,1,2,1,1,1,1.0,2.0,3.0
6442,36813,1,1.0,2,1.0,3,2,18,5,2.0,3,3,4,2,6,1,4,2,3,Version 3,.309186965227127,2,1,36,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,2.0,7.0
6443,36815,1,1.0,2,,8,8,6,3,2.0,4,1,2,2,7,2,3,1,3,Version 3,.528518795967102,4,2,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,2.0,1,1,1,1,1,2.0,1.0,3.0
6444,36819,2,2.0,2,,8,4,2,4,2.0,1,2,6,3,1,1,3,2,3,Version 3,.235252633690834,2,1,3,1.0,5.0,1.0,1.0,2.0,2.0,2.0,3,2.0,2.0,3,4,2,2,2,4.0,1.0,1.0
6445,36824,1,,1,1.0,6,7,2,1,2.0,4,1,1,3,5,2,3,5,3,Version 3,.253231346607208,3,2,22,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1.0,1,1,1,1,1,1.0,2.0,3.0
6453,36842,2,2.0,1,2.0,4,2,6,3,2.0,1,2,5,1,2,1,2,1,1,Version 3,.688595831394196,1,1,21,1.0,4.0,4.0,1.0,1.0,2.0,1.0,3,1.0,3.0,4,2,2,2,2,1.0,1.0,2.0
6454,36846,1,1.0,2,1.0,3,2,8,1,2.0,3,3,4,1,4,1,2,1,2,Version 3,.413451015949249,2,1,46,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3,2.0,2.0,4,2,1,2,2,4.0,2.0,7.0
6456,36849,3,3.0,1,,4,2,4,3,2.0,3,3,3,1,4,1,3,5,3,Version 3,.208892822265625,1,1,3,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,4,4,3,2,4,1.0,1.0,7.0
6458,36851,2,2.0,1,,8,4,2,2,2.0,1,2,5,1,2,1,3,2,3,Version 3,.228109523653984,1,1,3,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3,2.0,1.0,3,1,2,1,2,3.0,1.0,2.0
6464,36868,2,2.0,2,2.0,6,3,3,2,2.0,3,3,4,3,3,1,2,1,2,Version 3,1.01337087154388,2,1,20,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2,1.0,2.0,3,3,2,2,2,2.0,1.0,2.0
6466,36882,1,1.0,1,1.0,4,2,8,3,2.0,2,1,1,2,7,1,2,2,3,Version 3,.449975937604904,1,1,46,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,3.0,4,1,1,2,1,3.0,2.0,3.0
6471,36892,1,1.0,1,3.0,8,4,2,5,2.0,2,1,1,1,5,1,4,1,1,Version 3,.300660014152527,1,1,17,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,2.0
6473,36895,1,1.0,2,1.0,2,9,4,2,1.0,7,3,4,2,6,3,4,1,3,Version 3,.588457345962524,6,2,18,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,2.0,1,2,1,1,2,4.0,2.0,3.0
6478,36905,1,1.0,1,1.0,8,4,1,4,2.0,3,3,3,1,4,1,2,5,3,Version 3,.83219039440155,1,1,20,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,1,1,1,1,1,3.0,2.0,7.0
6497,36955,2,2.0,2,2.0,7,8,2,3,2.0,5,3,4,3,3,2,2,2,3,Version 3,.506388068199158,4,2,25,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,3,2,3,2,3,2.0,1.0,3.0
6499,36959,2,2.0,2,2.0,5,3,6,2,2.0,1,2,6,3,1,1,2,1,2,Version 3,.788102388381958,2,1,21,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2,1.0,4.0,3,3,2,2,3,2.0,1.0,1.0
